Date,Credits,Debits,Balance,Description,Category
01-11,,20.17,379.64,POS DB KROGER FU 1440 STUDEMO HOUSTON TX 000000000681797,food
01-11,,50.0,329.64,POS DB VENMO NEW YORK NY 000000000129634,food
01-11,,140.0,189.64,POS DB VENMO NEW YORK NY 000000000124182,food
01-12,,29.79,203.85,POS DB MIYABI SUSHI & RAMEN HOUSTON TX 000000000070263,food
01-13,,6.46,807.94,POS DB MCDONALD'S F36333 HOUSTON TX 000000000877950,food
01-13,,14.38,793.56,POS DB TROPICAL SMOOTHIE CAFE HOUSTON TX 000000000565407,food
01-13,,17.73,775.83,POS DB TIM HORTONS #920062 HOUSTON TX 000000000262829,food
01-13,,20.12,755.71,POS DB STAR STOP #61 HOUSTON TX 000000000511036,transport
01-13,,41.0,714.71,POS DB CASH APP*RUBEN NAVARRO gosq.com CA 000000000151115,clothes
01-13,,81.94,632.77,POS DB CHILI'S WILLOWBROOK HOUSTON TX 000000000147293,food
01-14,,3.96,628.81,POS DB WALGREENS 950 STUDEMON HOUSTON TX 000000000533608,food
01-14,,4.5,624.31,POS DB UH MAIN SC SIDEPOCKET HOUSTON TX 000000000900724,food
01-14,,10.0,614.31,POS DB TST* Whiskey River N Houston TX 000000000951000,food
01-14,,13.75,600.56,POS DB SAWYER HEIGHTS 209 B HOUSTON TX 000000000931669,food
01-14,,15.0,585.56,POS DB UH HILTON PARKING QPS HOUSTON TX 000000000925542,food
01-14,,16.71,568.85,POS DB BURGER KING #17877 HOUSTON TX 000000000172504,food
01-14,,24.45,544.40,POS DB KROGER FU 1440 STUDEMO HOUSTON TX 000000000943478,food
01-14,,63.81,480.59,POS DB NIDDA THAI CUISINE HOUSTON TX 000000000658231,food
01-15,,10.82,499.77,POS DB SQ *OLD GALVESTON TRAD Galveston TX 000000000761446,clothes
01-15,,13.03,486.74,POS DB MCDONALD'S F36333 HOUSTON TX 000000000637376,food
01-15,,13.04,473.70,POS DB BUC-EE'S #33 TEXAS CITY TX 000000000816655,clothes
01-15,,13.82,459.88,POS DB WALGREENS 950 STUDEMON HOUSTON TX 000000000621805,food
01-15,,36.19,423.69,POS DB KROGER FU 1440 STUDEMO HOUSTON TX 000000000629603,food
01-16,,5.4,433.29,POS DB HAZY DAZE STRAND GALVESTON TX 000000000192606,transport
01-16,,7.23,426.06,POS DB MCDONALD'S F36333 HOUSTON TX 000000000705522,food
01-16,,15.94,410.12,POS DB MIYABI SUSHI & RAMEN HOUSTON TX 000000000070275,food
01-16,,112.18,297.94,POS DB Riondos Ristorante Galveston TX 000000000188992,transport
01-17,,32.72,510.60,POS DB TST* El Rey Cuban & Houston TX 000000000342998,food
01-17,,200.0,310.60,POS DB VENMO NEW YORK NY 000000000240117,food
01-18,,24.32,620.27,POS DB WINGSTOP 158 HOUSTON TX 000000000693620,food
01-18,,40.0,580.27,POS DB VENMO NEW YORK NY 000000000128558,food
01-18,,44.92,535.35,POS DB TST* MAIN BIRD - LOUET SPRING TX 000000000138107,food
01-19,,3.56,"1,233.03",POS DB WHATABURGER 1169 WYLIE TX 000000000150679,food
01-19,,6.84,"1,226.19",POS DB BATH & BODY WORKS 3122 HOUSTON TX 000000000612133,supplies
01-19,,29.89,"1,196.30",POS DB TST* PUTTERY - HOUSTON HOUSTON TX 000000000737170,food
01-19,,38.39,"1,157.91",POS DB TAQUERUA EL RODEO DE J HOUSTON TX 000000000077552,food
01-19,,40.0,"1,117.91",POS DB ZEL*FERNANDO LOPEZ Columbus OH 000000000654932,food
01-19,,48.71,"1,069.20",POS DB LUSH US - 488 - WILLOW HOUSTON TX 000000000588530,food
01-19,,50.01,"1,019.19",POS DB TST* PUTTERY - HOUSTON HOUSTON TX 000000000754586,food
01-19,,51.95,967.24,POS DB GAMESTOP #1195 HOUSTON TX 000000000541857,food
01-19,,54.11,913.13,POS DB SQ *WILLOWBROOK MALL B HOUSTON TX 000000000595845,clothes
01-19,,88.74,824.39,POS DB TST* PUTTERY - HOUSTON HOUSTON TX 000000000735544,food
01-20,,14.38,822.75,POS DB TROPICAL SMOOTHIE CAFE HOUSTON TX 000000000662084,food
01-20,,15.66,807.09,POS DB AFTERPAY SAN FRANCISCO CA 000000000196745,transport
01-20,,16.07,791.02,POS DB WALGREENS 950 STUDEMON HOUSTON TX 000000000792202,food
01-20,,27.06,763.96,POS DB SQ *MANIA Houston TX 000000000559463,food
01-20,,30.16,733.80,POS DB MURPHY7788ATWAL HOUSTON TX 000000000507266,food
01-20,,40.97,692.83,POS DB MIYABI SUSHI & RAMEN HOUSTON TX 000000000143367,food
01-20,,83.31,609.52,POS DB VIP WIGS & BEAUTY SUPP HOUSTON TX 000000000530745,supplies
01-20,,250.0,359.52,POS DB VENMO NEW YORK NY 000000000397440,food
01-21,,6.47,447.47,POS DB VAPE CITY HOUSTON HOUSTON TX 000000000027651,food
01-21,,14.38,433.09,POS DB TROPICAL SMOOTHIE CAFE HOUSTON TX 000000000395884,food
01-21,,27.35,405.74,POS DB GUS'S FRIED CHICKEN HOUSTON TX 000000000615809,food
01-22,,3.03,435.05,POS DB IN N OUT BURGER 357 HOUSTON TX 000000000151740,transport
01-22,,10.03,425.02,POS DB MCDONALD'S F36333 HOUSTON TX 000000000344046,food
01-22,,27.06,397.96,POS DB IN N OUT BURGER 357 HOUSTON TX 000000000151094,transport
01-22,,48.07,349.89,POS DB TST* DONA LETI'S HOUSTON TX 000000000490695,food
01-23,,6.68,343.21,POS DB MCDONALD'S F6472 HOUSTON TX 000000000694122,food
01-23,,11.9,331.31,POS DB APPLE.COM/BILL 866-712-7753 CA 000000000251222,other
01-23,,15.0,316.31,POS DB WASHINGTON PBD HOUSTON TX 000000000608886,food
01-23,,79.88,236.43,POS DB MAIS RESTAURANT HOUSTON TX 000000000206959,food
01-23,,83.13,153.30,POS DB TST* Valencias Tex - Houston TX 000000000476462,food
01-24,,25.33,145.61,POS DB SAWYER HEIGHTS 209 B HOUSTON TX 000000000428408,food
01-24,,30.01,115.60,POS DB MURPHY7788ATWAL HOUSTON TX 000000000254645,food
01-25,,31.23,103.97,POS DB SONIC DRIVE IN #5268 HOUSTON TX 000000000693356,food
01-26,,35.0,590.02,POS DB ZEL*OSTIN FELICIANO Minneapolis MN 000000000432904,other
01-26,,62.0,528.02,POS DB ZEL*Gregory Hoke Richmond VA 000000000427030,transport
01-27,,9.0,606.26,POS DB SQ *SMOKEWOOD HOUSTON TX 000000000871407,food
01-27,,40.0,566.26,POS DB ZEL*JOE ERVIN Minneapolis MN 000000000867481,other
01-27,,40.02,526.24,POS DB MURPHY7788ATWAL HOUSTON TX 000000000456310,food
01-27,,218.0,308.24,POS DB VENMO NEW YORK NY 000000000341861,food
12-28,,10.12,26.85,POS DB MCDONALD'S F36333 HOUSTON TX 000000000705644,food
12-28,,11.0,15.85,POS DB MCDONALD'S F36333 HOUSTON TX 000000000696229,food
12-30,,14.46,297.24,POS DB KROGER FU 1440 STUDEMO HOUSTON TX 000000000890293,food
12-31,,3.0,404.24,POS DB ZEL*JOE ERVIN Minneapolis MN 000000000733486,other
12-31,,14.67,389.57,POS DB IN N OUT BURGER 357 HOUSTON TX 000000000186714,transport
12-31,,21.65,367.92,POS DB PANCO FOOD MART HOUSTON TX 000000000998040,transport
12-31,,196.82,171.10,POS DB SPRINT WIRELESS 800-639-6111 KS 000000000610867,other
01-01,,13.28,157.82,POS DB TST* BUNSLUT - CYPRESS HOUSTON TX 000000000164364,food
01-01,,21.12,136.70,POS DB TST* BUNSLUT - CYPRESS HOUSTON TX 000000000167873,food
01-01,,66.92,69.78,POS DB BUC-EE'S #40 KATY TX 000000000915067,transport
01-02,,2.71,67.07,POS DB CKO*PATREON* MEMBERSHI 833-9728766 CA 000000000255549,other
01-02,,3.25,63.82,POS DB CKO*PATREON* MEMBERSHI 833-9728766 CA 000000000360946,other
01-02,,10.81,53.01,POS DB NETFLIX.COM 866-5797172 CA 000000000207544,other
01-03,,37.24,190.77,POS DB TST* SEASIDE LOUNGE HOUSTON TX 000000000149511,food
01-04,,8.31,205.46,POS DB WALGREENS 950 STUDEMON HOUSTON TX 000000000552532,food
01-05,,4.65,236.81,POS DB CHICK-FIL-A #03853 HOUSTON TX 000000000062453,food
01-05,,14.04,222.77,POS DB WALGREENS 950 STUDEMON HOUSTON TX 000000000674761,food
01-05,,15.65,207.12,POS DB AFTERPAY SAN FRANCISCO CA 000000000629889,transport
01-05,,20.26,186.86,POS DB MURPHY7788ATWALMART HOUSTON TX 000000000409791,food
01-05,,25.0,161.86,POS DB ZEL*FERNANDO LOPEZ Columbus OH 000000000769879,food
01-05,,38.28,123.58,POS DB STAR PIZZA - 2 HOUSTON TX 000000000729982,food
01-06,,1.61,700.76,POS DB VAPE CITY HOUSTON HOUSTON TX 000000000144524,food
01-06,,7.89,692.87,POS DB AMC 0162 WILLOWBROOK 2 HOUSTON TX 000000000155786,food
01-06,,12.42,680.45,POS DB VAPE CITY HOUSTON HOUSTON TX 000000000144442,food
01-06,,15.41,665.04,POS DB MCDONALD'S F36333 HOUSTON TX 000000000884846,food
01-06,,40.97,624.07,POS DB MIYABI SUSHI & RAMEN HOUSTON TX 000000000074711,food
01-06,,41.75,582.32,POS DB AMC ONLINE 9640 LEAWOOD KS 000000000152197,other
01-07,,20.0,582.32,POS DB APPLE CASH - SENT MONE CUPERTINO CA 000000000672603,clothes
01-07,,196.82,385.50,POS DB SPRINT WIRELESS 800-639-6111 KS 000000000195248,other
01-08,,14.38,371.12,POS DB TROPICAL SMOOTHIE CAFE HOUSTON TX 000000000430260,food
01-08,,25.0,346.12,POS DB DOWNTOWN FOOD MART HOUSTON TX 000000000799648,transport
01-08,,86.59,259.53,POS DB PLUCKERS - SKINNER - R CYPRESS TX 000000000173483,clothes
01-09,,23.58,349.95,POS DB FRANKS PIZZA - HOUSTON HOUSTON TX 000000000150373,food
01-10,,5.79,492.16,POS DB 011 TORCHYS SHEPHERD HOUSTON TX 000000000120271,food
01-10,,9.71,482.45,POS DB WALGREENS 950 STUDEMON HOUSTON TX 000000000487427,food
01-10,,14.38,468.07,POS DB TROPICAL SMOOTHIE CAFE HOUSTON TX 000000000320155,food
01-10,,16.24,451.83,POS DB INSOMNIA COOKIES - H HOUSTON TX 000000000125661,food
01-10,,46.17,405.66,POS DB 011 TORCHYS SHEPHERD HOUSTON TX 000000000118120,food
01-11,,5.85,399.81,POS DB STUEBNER AIRLINE MART HOUSTON TX 000000000012884,food
01-11,,20.17,379.64,POS DB KROGER FU 1440 STUDEMO HOUSTON TX 000000000681797,food
01-11,,50.0,329.64,POS DB VENMO NEW YORK NY 000000000129634,food
01-11,,140.0,189.64,POS DB VENMO NEW YORK NY 000000000124182,food
01-12,,29.79,203.85,POS DB MIYABI SUSHI & RAMEN HOUSTON TX 000000000070263,food
01-13,,6.46,807.94,POS DB MCDONALD'S F36333 HOUSTON TX 000000000877950,food
01-13,,14.38,793.56,POS DB TROPICAL SMOOTHIE CAFE HOUSTON TX 000000000565407,food
01-13,,17.73,775.83,POS DB TIM HORTONS #920062 HOUSTON TX 000000000262829,food
01-13,,20.12,755.71,POS DB STAR STOP #61 HOUSTON TX 000000000511036,transport
01-13,,41.0,714.71,POS DB CASH APP*RUBEN NAVARRO gosq.com CA 000000000151115,clothes
01-13,,81.94,632.77,POS DB CHILI'S WILLOWBROOK HOUSTON TX 000000000147293,food
01-14,,3.96,628.81,POS DB WALGREENS 950 STUDEMON HOUSTON TX 000000000533608,food
01-14,,4.5,624.31,POS DB UH MAIN SC SIDEPOCKET HOUSTON TX 000000000900724,food
01-14,,10.0,614.31,POS DB TST* Whiskey River N Houston TX 000000000951000,food
01-14,,13.75,600.56,POS DB SAWYER HEIGHTS 209 B HOUSTON TX 000000000931669,food
01-14,,15.0,585.56,POS DB UH HILTON PARKING QPS HOUSTON TX 000000000925542,food
01-14,,16.71,568.85,POS DB BURGER KING #17877 HOUSTON TX 000000000172504,food
01-14,,24.45,544.40,POS DB KROGER FU 1440 STUDEMO HOUSTON TX 000000000943478,food
01-14,,63.81,480.59,POS DB NIDDA THAI CUISINE HOUSTON TX 000000000658231,food
01-15,,10.82,499.77,POS DB SQ *OLD GALVESTON TRAD Galveston TX 000000000761446,clothes
01-15,,13.03,486.74,POS DB MCDONALD'S F36333 HOUSTON TX 000000000637376,food
01-15,,13.04,473.70,POS DB BUC-EE'S #33 TEXAS CITY TX 000000000816655,clothes
01-15,,13.82,459.88,POS DB WALGREENS 950 STUDEMON HOUSTON TX 000000000621805,food
01-15,,36.19,423.69,POS DB KROGER FU 1440 STUDEMO HOUSTON TX 000000000629603,food
01-16,,5.4,433.29,POS DB HAZY DAZE STRAND GALVESTON TX 000000000192606,transport
01-16,,7.23,426.06,POS DB MCDONALD'S F36333 HOUSTON TX 000000000705522,food
01-16,,15.94,410.12,POS DB MIYABI SUSHI & RAMEN HOUSTON TX 000000000070275,food
01-16,,112.18,297.94,POS DB Riondos Ristorante Galveston TX 000000000188992,transport
01-17,,32.72,510.60,POS DB TST* El Rey Cuban & Houston TX 000000000342998,food
01-17,,200.0,310.60,POS DB VENMO NEW YORK NY 000000000240117,food
01-18,,24.32,620.27,POS DB WINGSTOP 158 HOUSTON TX 000000000693620,food
01-18,,40.0,580.27,POS DB VENMO NEW YORK NY 000000000128558,food
01-18,,44.92,535.35,POS DB TST* MAIN BIRD - LOUET SPRING TX 000000000138107,food
01-19,,3.56,"1,233.03",POS DB WHATABURGER 1169 WYLIE TX 000000000150679,food
01-19,,6.84,"1,226.19",POS DB BATH & BODY WORKS 3122 HOUSTON TX 000000000612133,supplies
01-19,,29.89,"1,196.30",POS DB TST* PUTTERY - HOUSTON HOUSTON TX 000000000737170,food
01-19,,38.39,"1,157.91",POS DB TAQUERUA EL RODEO DE J HOUSTON TX 000000000077552,food
01-19,,40.0,"1,117.91",POS DB ZEL*FERNANDO LOPEZ Columbus OH 000000000654932,food
01-19,,48.71,"1,069.20",POS DB LUSH US - 488 - WILLOW HOUSTON TX 000000000588530,food
01-19,,50.01,"1,019.19",POS DB TST* PUTTERY - HOUSTON HOUSTON TX 000000000754586,food
01-19,,51.95,967.24,POS DB GAMESTOP #1195 HOUSTON TX 000000000541857,food
01-19,,54.11,913.13,POS DB SQ *WILLOWBROOK MALL B HOUSTON TX 000000000595845,clothes
01-19,,88.74,824.39,POS DB TST* PUTTERY - HOUSTON HOUSTON TX 000000000735544,food
01-20,,14.38,822.75,POS DB TROPICAL SMOOTHIE CAFE HOUSTON TX 000000000662084,food
01-20,,15.66,807.09,POS DB AFTERPAY SAN FRANCISCO CA 000000000196745,transport
01-20,,16.07,791.02,POS DB WALGREENS 950 STUDEMON HOUSTON TX 000000000792202,food
01-20,,27.06,763.96,POS DB SQ *MANIA Houston TX 000000000559463,food
01-20,,30.16,733.80,POS DB MURPHY7788ATWAL HOUSTON TX 000000000507266,food
01-20,,40.97,692.83,POS DB MIYABI SUSHI & RAMEN HOUSTON TX 000000000143367,food
01-20,,83.31,609.52,POS DB VIP WIGS & BEAUTY SUPP HOUSTON TX 000000000530745,supplies
01-20,,250.0,359.52,POS DB VENMO NEW YORK NY 000000000397440,food
01-21,,6.47,447.47,POS DB VAPE CITY HOUSTON HOUSTON TX 000000000027651,food
01-21,,14.38,433.09,POS DB TROPICAL SMOOTHIE CAFE HOUSTON TX 000000000395884,food
01-21,,27.35,405.74,POS DB GUS'S FRIED CHICKEN HOUSTON TX 000000000615809,food
01-22,,3.03,435.05,POS DB IN N OUT BURGER 357 HOUSTON TX 000000000151740,transport
01-22,,10.03,425.02,POS DB MCDONALD'S F36333 HOUSTON TX 000000000344046,food
01-22,,27.06,397.96,POS DB IN N OUT BURGER 357 HOUSTON TX 000000000151094,transport
01-22,,48.07,349.89,POS DB TST* DONA LETI'S HOUSTON TX 000000000490695,food
01-23,,6.68,343.21,POS DB MCDONALD'S F6472 HOUSTON TX 000000000694122,food
01-23,,11.9,331.31,POS DB APPLE.COM/BILL 866-712-7753 CA 000000000251222,other
01-23,,15.0,316.31,POS DB WASHINGTON PBD HOUSTON TX 000000000608886,food
01-23,,79.88,236.43,POS DB MAIS RESTAURANT HOUSTON TX 000000000206959,food
01-23,,83.13,153.30,POS DB TST* Valencias Tex - Houston TX 000000000476462,food
01-24,,25.33,145.61,POS DB SAWYER HEIGHTS 209 B HOUSTON TX 000000000428408,food
01-24,,30.01,115.60,POS DB MURPHY7788ATWAL HOUSTON TX 000000000254645,food
01-25,,31.23,103.97,POS DB SONIC DRIVE IN #5268 HOUSTON TX 000000000693356,food
01-26,,35.0,590.02,POS DB ZEL*OSTIN FELICIANO Minneapolis MN 000000000432904,other
01-26,,62.0,528.02,POS DB ZEL*Gregory Hoke Richmond VA 000000000427030,transport
01-27,,9.0,606.26,POS DB SQ *SMOKEWOOD HOUSTON TX 000000000871407,food
01-27,,40.0,566.26,POS DB ZEL*JOE ERVIN Minneapolis MN 000000000867481,other
01-27,,40.02,526.24,POS DB MURPHY7788ATWAL HOUSTON TX 000000000456310,food
01-27,,218.0,308.24,POS DB VENMO NEW YORK NY 000000000341861,food
